head,relation,tail
Signing of Magna Carta,rdf:type,Event
Crusades,rdf:type,Event
Peloponnesian War,rdf:type,Event
Punic Wars,rdf:type,Event
Hundred Years' War,rdf:type,Event
Thirty Years' War,rdf:type,Event
Opium Wars,rdf:type,Event
Boxer Rebellion,rdf:type,Event
Taiping Rebellion,rdf:type,Event
Great Depression,rdf:type,Event
Moon Landing,rdf:type,Event
Cuban Missile Crisis,rdf:type,Event
Vietnam War,rdf:type,Event
Korean War,rdf:type,Event
Gulf War,rdf:type,Event
Iraq War,rdf:type,Event
Spanish Civil War,rdf:type,Event
Nine Years' War,rdf:type,Event
Glorious Revolution,rdf:type,Event
English Civil War,rdf:type,Event
First Sino-Japanese War,rdf:type,Event
War of the Roses,rdf:type,Event
American Civil War,rdf:type,Event
Reign of Terror,rdf:type,Event
Storming of the Bastille,rdf:type,Event
Ancient Egypt,hasCorePeriod,Bronze Age
Ancient Egypt,originatedIn,Nile Valley
Ancient Greece,hasCorePeriod,Iron Age
Ancient Greece,originatedIn,Mesopotamia
Roman Empire,hasCorePeriod,Classical Antiquity
Roman Empire,originatedIn,Indus Valley
Byzantine Empire,hasCorePeriod,Middle Ages
Byzantine Empire,originatedIn,Yellow River Valley
Ottoman Empire,hasCorePeriod,Early Modern Period
Ottoman Empire,originatedIn,Mediterranean Basin
Mughal Empire,hasCorePeriod,Modern Era
Mughal Empire,originatedIn,Anatolia
Maurya Empire,hasCorePeriod,Bronze Age
Maurya Empire,originatedIn,Italian Peninsula
Gupta Empire,hasCorePeriod,Iron Age
Gupta Empire,originatedIn,Iberian Peninsula
Han Dynasty,hasCorePeriod,Classical Antiquity
Han Dynasty,originatedIn,Balkan Peninsula
Qing Dynasty,hasCorePeriod,Middle Ages
Qing Dynasty,originatedIn,Arabian Peninsula
Ming Dynasty,hasCorePeriod,Early Modern Period
Ming Dynasty,originatedIn,Mesoamerica
Song Dynasty,hasCorePeriod,Modern Era
Song Dynasty,originatedIn,Andes Mountains
Aztec Empire,hasCorePeriod,Bronze Age
Aztec Empire,originatedIn,Central Asia
Inca Empire,hasCorePeriod,Iron Age
Inca Empire,originatedIn,East Asia
Maya Civilization,hasCorePeriod,Classical Antiquity
Maya Civilization,originatedIn,South Asia
Babylonian Empire,hasCorePeriod,Middle Ages
Babylonian Empire,originatedIn,Western Europe
Persian Empire,hasCorePeriod,Early Modern Period
Persian Empire,originatedIn,Eastern Europe
Achaemenid Empire,hasCorePeriod,Modern Era
Achaemenid Empire,originatedIn,Nile Valley
Sumerian Civilization,hasCorePeriod,Bronze Age
Sumerian Civilization,originatedIn,Mesopotamia
Phoenician Civilization,hasCorePeriod,Iron Age
Phoenician Civilization,originatedIn,Indus Valley
Ancient Egypt,potentiallyActiveInPeriod,Bronze Age
Ancient Egypt,potentiallyActiveInPeriod,Iron Age
Ancient Egypt,potentiallyActiveInPeriod,Classical Antiquity
Ancient Egypt,potentiallyActiveInPeriod,Middle Ages
Ancient Egypt,potentiallyActiveInPeriod,Early Modern Period
Ancient Egypt,potentiallyActiveInPeriod,Modern Era
Ancient Greece,potentiallyActiveInPeriod,Bronze Age
Ancient Greece,potentiallyActiveInPeriod,Iron Age
Ancient Greece,potentiallyActiveInPeriod,Classical Antiquity
Ancient Greece,potentiallyActiveInPeriod,Middle Ages
Ancient Greece,potentiallyActiveInPeriod,Early Modern Period
Ancient Greece,potentiallyActiveInPeriod,Modern Era
Roman Empire,potentiallyActiveInPeriod,Bronze Age
Roman Empire,potentiallyActiveInPeriod,Iron Age
Roman Empire,potentiallyActiveInPeriod,Classical Antiquity
Roman Empire,potentiallyActiveInPeriod,Middle Ages
Roman Empire,potentiallyActiveInPeriod,Early Modern Period
Roman Empire,potentiallyActiveInPeriod,Modern Era
Byzantine Empire,potentiallyActiveInPeriod,Bronze Age
Byzantine Empire,potentiallyActiveInPeriod,Iron Age
Byzantine Empire,potentiallyActiveInPeriod,Classical Antiquity
Byzantine Empire,potentiallyActiveInPeriod,Middle Ages
Byzantine Empire,potentiallyActiveInPeriod,Early Modern Period
Byzantine Empire,potentiallyActiveInPeriod,Modern Era
Ottoman Empire,potentiallyActiveInPeriod,Bronze Age
Ottoman Empire,potentiallyActiveInPeriod,Iron Age
Ottoman Empire,potentiallyActiveInPeriod,Classical Antiquity
Ottoman Empire,potentiallyActiveInPeriod,Middle Ages
Ottoman Empire,potentiallyActiveInPeriod,Early Modern Period
Ottoman Empire,potentiallyActiveInPeriod,Modern Era
Mughal Empire,potentiallyActiveInPeriod,Bronze Age
Mughal Empire,potentiallyActiveInPeriod,Iron Age
Mughal Empire,potentiallyActiveInPeriod,Classical Antiquity
Mughal Empire,potentiallyActiveInPeriod,Middle Ages
Mughal Empire,potentiallyActiveInPeriod,Early Modern Period
Mughal Empire,potentiallyActiveInPeriod,Modern Era
Maurya Empire,potentiallyActiveInPeriod,Bronze Age
Maurya Empire,potentiallyActiveInPeriod,Iron Age
Maurya Empire,potentiallyActiveInPeriod,Classical Antiquity
Maurya Empire,potentiallyActiveInPeriod,Middle Ages
Maurya Empire,potentiallyActiveInPeriod,Early Modern Period
Maurya Empire,potentiallyActiveInPeriod,Modern Era
Gupta Empire,potentiallyActiveInPeriod,Bronze Age
Gupta Empire,potentiallyActiveInPeriod,Iron Age
Gupta Empire,potentiallyActiveInPeriod,Classical Antiquity
Gupta Empire,potentiallyActiveInPeriod,Middle Ages
Gupta Empire,potentiallyActiveInPeriod,Early Modern Period
Gupta Empire,potentiallyActiveInPeriod,Modern Era
Han Dynasty,potentiallyActiveInPeriod,Bronze Age
Han Dynasty,potentiallyActiveInPeriod,Iron Age
Han Dynasty,potentiallyActiveInPeriod,Classical Antiquity
Han Dynasty,potentiallyActiveInPeriod,Middle Ages
Han Dynasty,potentiallyActiveInPeriod,Early Modern Period
Han Dynasty,potentiallyActiveInPeriod,Modern Era
Qing Dynasty,potentiallyActiveInPeriod,Bronze Age
Qing Dynasty,potentiallyActiveInPeriod,Iron Age
Qing Dynasty,potentiallyActiveInPeriod,Classical Antiquity
Qing Dynasty,potentiallyActiveInPeriod,Middle Ages
Qing Dynasty,potentiallyActiveInPeriod,Early Modern Period
Qing Dynasty,potentiallyActiveInPeriod,Modern Era
Ming Dynasty,potentiallyActiveInPeriod,Bronze Age
Ming Dynasty,potentiallyActiveInPeriod,Iron Age
Ming Dynasty,potentiallyActiveInPeriod,Classical Antiquity
Ming Dynasty,potentiallyActiveInPeriod,Middle Ages
Ming Dynasty,potentiallyActiveInPeriod,Early Modern Period
Ming Dynasty,potentiallyActiveInPeriod,Modern Era
Song Dynasty,potentiallyActiveInPeriod,Bronze Age
Song Dynasty,potentiallyActiveInPeriod,Iron Age
Song Dynasty,potentiallyActiveInPeriod,Classical Antiquity
Song Dynasty,potentiallyActiveInPeriod,Middle Ages
Song Dynasty,potentiallyActiveInPeriod,Early Modern Period
Song Dynasty,potentiallyActiveInPeriod,Modern Era
Aztec Empire,potentiallyActiveInPeriod,Bronze Age
Aztec Empire,potentiallyActiveInPeriod,Iron Age
Aztec Empire,potentiallyActiveInPeriod,Classical Antiquity
Aztec Empire,potentiallyActiveInPeriod,Middle Ages
Aztec Empire,potentiallyActiveInPeriod,Early Modern Period
Aztec Empire,potentiallyActiveInPeriod,Modern Era
Inca Empire,potentiallyActiveInPeriod,Bronze Age
Inca Empire,potentiallyActiveInPeriod,Iron Age
Inca Empire,potentiallyActiveInPeriod,Classical Antiquity
Inca Empire,potentiallyActiveInPeriod,Middle Ages
Inca Empire,potentiallyActiveInPeriod,Early Modern Period
Inca Empire,potentiallyActiveInPeriod,Modern Era
Maya Civilization,potentiallyActiveInPeriod,Bronze Age
Maya Civilization,potentiallyActiveInPeriod,Iron Age
Maya Civilization,potentiallyActiveInPeriod,Classical Antiquity
Maya Civilization,potentiallyActiveInPeriod,Middle Ages
Maya Civilization,potentiallyActiveInPeriod,Early Modern Period
Maya Civilization,potentiallyActiveInPeriod,Modern Era
Babylonian Empire,potentiallyActiveInPeriod,Bronze Age
Babylonian Empire,potentiallyActiveInPeriod,Iron Age
Babylonian Empire,potentiallyActiveInPeriod,Classical Antiquity
Babylonian Empire,potentiallyActiveInPeriod,Middle Ages
Babylonian Empire,potentiallyActiveInPeriod,Early Modern Period
Babylonian Empire,potentiallyActiveInPeriod,Modern Era
Persian Empire,potentiallyActiveInPeriod,Bronze Age
Persian Empire,potentiallyActiveInPeriod,Iron Age
Persian Empire,potentiallyActiveInPeriod,Classical Antiquity
Persian Empire,potentiallyActiveInPeriod,Middle Ages
Persian Empire,potentiallyActiveInPeriod,Early Modern Period
Persian Empire,potentiallyActiveInPeriod,Modern Era
Achaemenid Empire,potentiallyActiveInPeriod,Bronze Age
Achaemenid Empire,potentiallyActiveInPeriod,Iron Age
Achaemenid Empire,potentiallyActiveInPeriod,Classical Antiquity
Achaemenid Empire,potentiallyActiveInPeriod,Middle Ages
Achaemenid Empire,potentiallyActiveInPeriod,Early Modern Period
Achaemenid Empire,potentiallyActiveInPeriod,Modern Era
Sumerian Civilization,potentiallyActiveInPeriod,Bronze Age
Sumerian Civilization,potentiallyActiveInPeriod,Iron Age
Sumerian Civilization,potentiallyActiveInPeriod,Classical Antiquity
Sumerian Civilization,potentiallyActiveInPeriod,Middle Ages
Sumerian Civilization,potentiallyActiveInPeriod,Early Modern Period
Sumerian Civilization,potentiallyActiveInPeriod,Modern Era
Phoenician Civilization,potentiallyActiveInPeriod,Bronze Age
Phoenician Civilization,potentiallyActiveInPeriod,Iron Age
Phoenician Civilization,potentiallyActiveInPeriod,Classical Antiquity
Phoenician Civilization,potentiallyActiveInPeriod,Middle Ages
Phoenician Civilization,potentiallyActiveInPeriod,Early Modern Period
Phoenician Civilization,potentiallyActiveInPeriod,Modern Era
Ancient Egypt,influencedRegion,Nile Valley
Ancient Egypt,influencedRegion,Mesopotamia
Ancient Egypt,influencedRegion,Indus Valley
Ancient Egypt,influencedRegion,Yellow River Valley
Ancient Egypt,influencedRegion,Mediterranean Basin
Ancient Egypt,influencedRegion,Anatolia
Ancient Egypt,influencedRegion,Italian Peninsula
Ancient Egypt,influencedRegion,Iberian Peninsula
Ancient Egypt,influencedRegion,Balkan Peninsula
Ancient Egypt,influencedRegion,Arabian Peninsula
Ancient Egypt,influencedRegion,Mesoamerica
Ancient Egypt,influencedRegion,Andes Mountains
Ancient Egypt,influencedRegion,Central Asia
Ancient Egypt,influencedRegion,East Asia
Ancient Egypt,influencedRegion,South Asia
Ancient Egypt,influencedRegion,Western Europe
Ancient Egypt,influencedRegion,Eastern Europe
Ancient Greece,influencedRegion,Nile Valley
Ancient Greece,influencedRegion,Mesopotamia
Ancient Greece,influencedRegion,Indus Valley
Ancient Greece,influencedRegion,Yellow River Valley
Ancient Greece,influencedRegion,Mediterranean Basin
Ancient Greece,influencedRegion,Anatolia
Ancient Greece,influencedRegion,Italian Peninsula
Ancient Greece,influencedRegion,Iberian Peninsula
Ancient Greece,influencedRegion,Balkan Peninsula
Ancient Greece,influencedRegion,Arabian Peninsula
Ancient Greece,influencedRegion,Mesoamerica
Ancient Greece,influencedRegion,Andes Mountains
Ancient Greece,influencedRegion,Central Asia
Ancient Greece,influencedRegion,East Asia
Ancient Greece,influencedRegion,South Asia
Ancient Greece,influencedRegion,Western Europe
Ancient Greece,influencedRegion,Eastern Europe
Roman Empire,influencedRegion,Nile Valley
Roman Empire,influencedRegion,Mesopotamia
Roman Empire,influencedRegion,Indus Valley
Roman Empire,influencedRegion,Yellow River Valley
Roman Empire,influencedRegion,Mediterranean Basin
Roman Empire,influencedRegion,Anatolia
Roman Empire,influencedRegion,Italian Peninsula
Roman Empire,influencedRegion,Iberian Peninsula
Roman Empire,influencedRegion,Balkan Peninsula
Roman Empire,influencedRegion,Arabian Peninsula
Roman Empire,influencedRegion,Mesoamerica
Roman Empire,influencedRegion,Andes Mountains
Roman Empire,influencedRegion,Central Asia
Roman Empire,influencedRegion,East Asia
Roman Empire,influencedRegion,South Asia
Roman Empire,influencedRegion,Western Europe
Roman Empire,influencedRegion,Eastern Europe
Byzantine Empire,influencedRegion,Nile Valley
Byzantine Empire,influencedRegion,Mesopotamia
Byzantine Empire,influencedRegion,Indus Valley
Byzantine Empire,influencedRegion,Yellow River Valley
Byzantine Empire,influencedRegion,Mediterranean Basin
Byzantine Empire,influencedRegion,Anatolia
Byzantine Empire,influencedRegion,Italian Peninsula
Byzantine Empire,influencedRegion,Iberian Peninsula
Byzantine Empire,influencedRegion,Balkan Peninsula
Byzantine Empire,influencedRegion,Arabian Peninsula
Byzantine Empire,influencedRegion,Mesoamerica
Byzantine Empire,influencedRegion,Andes Mountains
Byzantine Empire,influencedRegion,Central Asia
Byzantine Empire,influencedRegion,East Asia
Byzantine Empire,influencedRegion,South Asia
Byzantine Empire,influencedRegion,Western Europe
Byzantine Empire,influencedRegion,Eastern Europe
Ottoman Empire,influencedRegion,Nile Valley
Ottoman Empire,influencedRegion,Mesopotamia
Ottoman Empire,influencedRegion,Indus Valley
Ottoman Empire,influencedRegion,Yellow River Valley
Ottoman Empire,influencedRegion,Mediterranean Basin
Ottoman Empire,influencedRegion,Anatolia
Ottoman Empire,influencedRegion,Italian Peninsula
Ottoman Empire,influencedRegion,Iberian Peninsula
Ottoman Empire,influencedRegion,Balkan Peninsula
Ottoman Empire,influencedRegion,Arabian Peninsula
Ottoman Empire,influencedRegion,Mesoamerica
Ottoman Empire,influencedRegion,Andes Mountains
Ottoman Empire,influencedRegion,Central Asia
Ottoman Empire,influencedRegion,East Asia
Ottoman Empire,influencedRegion,South Asia
Ottoman Empire,influencedRegion,Western Europe
Ottoman Empire,influencedRegion,Eastern Europe
Mughal Empire,influencedRegion,Nile Valley
Mughal Empire,influencedRegion,Mesopotamia
Mughal Empire,influencedRegion,Indus Valley
Mughal Empire,influencedRegion,Yellow River Valley
Mughal Empire,influencedRegion,Mediterranean Basin
Mughal Empire,influencedRegion,Anatolia
Mughal Empire,influencedRegion,Italian Peninsula
Mughal Empire,influencedRegion,Iberian Peninsula
Mughal Empire,influencedRegion,Balkan Peninsula
Mughal Empire,influencedRegion,Arabian Peninsula
Mughal Empire,influencedRegion,Mesoamerica
Mughal Empire,influencedRegion,Andes Mountains
Mughal Empire,influencedRegion,Central Asia
Mughal Empire,influencedRegion,East Asia
Mughal Empire,influencedRegion,South Asia
Mughal Empire,influencedRegion,Western Europe
Mughal Empire,influencedRegion,Eastern Europe
Maurya Empire,influencedRegion,Nile Valley
Maurya Empire,influencedRegion,Mesopotamia
Maurya Empire,influencedRegion,Indus Valley
Maurya Empire,influencedRegion,Yellow River Valley
Maurya Empire,influencedRegion,Mediterranean Basin
Maurya Empire,influencedRegion,Anatolia
Maurya Empire,influencedRegion,Italian Peninsula
Maurya Empire,influencedRegion,Iberian Peninsula
Maurya Empire,influencedRegion,Balkan Peninsula
Maurya Empire,influencedRegion,Arabian Peninsula
Maurya Empire,influencedRegion,Mesoamerica
Maurya Empire,influencedRegion,Andes Mountains
Maurya Empire,influencedRegion,Central Asia
Maurya Empire,influencedRegion,East Asia
Maurya Empire,influencedRegion,South Asia
Maurya Empire,influencedRegion,Western Europe
Maurya Empire,influencedRegion,Eastern Europe
Gupta Empire,influencedRegion,Nile Valley
Gupta Empire,influencedRegion,Mesopotamia
Gupta Empire,influencedRegion,Indus Valley
Gupta Empire,influencedRegion,Yellow River Valley
Gupta Empire,influencedRegion,Mediterranean Basin
Gupta Empire,influencedRegion,Anatolia
Gupta Empire,influencedRegion,Italian Peninsula
Gupta Empire,influencedRegion,Iberian Peninsula
Gupta Empire,influencedRegion,Balkan Peninsula
Gupta Empire,influencedRegion,Arabian Peninsula
Gupta Empire,influencedRegion,Mesoamerica
Gupta Empire,influencedRegion,Andes Mountains
Gupta Empire,influencedRegion,Central Asia
Gupta Empire,influencedRegion,East Asia
Gupta Empire,influencedRegion,South Asia
Gupta Empire,influencedRegion,Western Europe
Gupta Empire,influencedRegion,Eastern Europe
Han Dynasty,influencedRegion,Nile Valley
Han Dynasty,influencedRegion,Mesopotamia
Han Dynasty,influencedRegion,Indus Valley
Han Dynasty,influencedRegion,Yellow River Valley
Han Dynasty,influencedRegion,Mediterranean Basin
Han Dynasty,influencedRegion,Anatolia
Han Dynasty,influencedRegion,Italian Peninsula
Han Dynasty,influencedRegion,Iberian Peninsula
Han Dynasty,influencedRegion,Balkan Peninsula
Han Dynasty,influencedRegion,Arabian Peninsula
Han Dynasty,influencedRegion,Mesoamerica
Han Dynasty,influencedRegion,Andes Mountains
Han Dynasty,influencedRegion,Central Asia
Han Dynasty,influencedRegion,East Asia
Han Dynasty,influencedRegion,South Asia
Han Dynasty,influencedRegion,Western Europe
Han Dynasty,influencedRegion,Eastern Europe
Qing Dynasty,influencedRegion,Nile Valley
Qing Dynasty,influencedRegion,Mesopotamia
Qing Dynasty,influencedRegion,Indus Valley
Qing Dynasty,influencedRegion,Yellow River Valley
Qing Dynasty,influencedRegion,Mediterranean Basin
Qing Dynasty,influencedRegion,Anatolia
Qing Dynasty,influencedRegion,Italian Peninsula
Qing Dynasty,influencedRegion,Iberian Peninsula
Qing Dynasty,influencedRegion,Balkan Peninsula
Qing Dynasty,influencedRegion,Arabian Peninsula
Qing Dynasty,influencedRegion,Mesoamerica
Qing Dynasty,influencedRegion,Andes Mountains
Qing Dynasty,influencedRegion,Central Asia
Qing Dynasty,influencedRegion,East Asia
Qing Dynasty,influencedRegion,South Asia
Qing Dynasty,influencedRegion,Western Europe
Qing Dynasty,influencedRegion,Eastern Europe
Ming Dynasty,influencedRegion,Nile Valley
Ming Dynasty,influencedRegion,Mesopotamia
Ming Dynasty,influencedRegion,Indus Valley
Ming Dynasty,influencedRegion,Yellow River Valley
Ming Dynasty,influencedRegion,Mediterranean Basin
Ming Dynasty,influencedRegion,Anatolia
Ming Dynasty,influencedRegion,Italian Peninsula
Ming Dynasty,influencedRegion,Iberian Peninsula
Ming Dynasty,influencedRegion,Balkan Peninsula
Ming Dynasty,influencedRegion,Arabian Peninsula
Ming Dynasty,influencedRegion,Mesoamerica
Ming Dynasty,influencedRegion,Andes Mountains
Ming Dynasty,influencedRegion,Central Asia
Ming Dynasty,influencedRegion,East Asia
Ming Dynasty,influencedRegion,South Asia
Ming Dynasty,influencedRegion,Western Europe
Ming Dynasty,influencedRegion,Eastern Europe
Song Dynasty,influencedRegion,Nile Valley
Song Dynasty,influencedRegion,Mesopotamia
Song Dynasty,influencedRegion,Indus Valley
Song Dynasty,influencedRegion,Yellow River Valley
Song Dynasty,influencedRegion,Mediterranean Basin
Song Dynasty,influencedRegion,Anatolia
Song Dynasty,influencedRegion,Italian Peninsula
Song Dynasty,influencedRegion,Iberian Peninsula
Song Dynasty,influencedRegion,Balkan Peninsula
Song Dynasty,influencedRegion,Arabian Peninsula
Song Dynasty,influencedRegion,Mesoamerica
Song Dynasty,influencedRegion,Andes Mountains
Song Dynasty,influencedRegion,Central Asia
Song Dynasty,influencedRegion,East Asia
Song Dynasty,influencedRegion,South Asia
Song Dynasty,influencedRegion,Western Europe
Song Dynasty,influencedRegion,Eastern Europe
Aztec Empire,influencedRegion,Nile Valley
Aztec Empire,influencedRegion,Mesopotamia
Aztec Empire,influencedRegion,Indus Valley
Aztec Empire,influencedRegion,Yellow River Valley
Aztec Empire,influencedRegion,Mediterranean Basin
Aztec Empire,influencedRegion,Anatolia
Aztec Empire,influencedRegion,Italian Peninsula
Aztec Empire,influencedRegion,Iberian Peninsula
Aztec Empire,influencedRegion,Balkan Peninsula
Aztec Empire,influencedRegion,Arabian Peninsula
Aztec Empire,influencedRegion,Mesoamerica
Aztec Empire,influencedRegion,Andes Mountains
Aztec Empire,influencedRegion,Central Asia
Aztec Empire,influencedRegion,East Asia
Aztec Empire,influencedRegion,South Asia
Aztec Empire,influencedRegion,Western Europe
Aztec Empire,influencedRegion,Eastern Europe
Inca Empire,influencedRegion,Nile Valley
Inca Empire,influencedRegion,Mesopotamia
Inca Empire,influencedRegion,Indus Valley
Inca Empire,influencedRegion,Yellow River Valley
Inca Empire,influencedRegion,Mediterranean Basin
Inca Empire,influencedRegion,Anatolia
Inca Empire,influencedRegion,Italian Peninsula
Inca Empire,influencedRegion,Iberian Peninsula
Inca Empire,influencedRegion,Balkan Peninsula
Inca Empire,influencedRegion,Arabian Peninsula
Inca Empire,influencedRegion,Mesoamerica
Inca Empire,influencedRegion,Andes Mountains
Inca Empire,influencedRegion,Central Asia
Inca Empire,influencedRegion,East Asia
Inca Empire,influencedRegion,South Asia
Inca Empire,influencedRegion,Western Europe
Inca Empire,influencedRegion,Eastern Europe
Maya Civilization,influencedRegion,Nile Valley
Maya Civilization,influencedRegion,Mesopotamia
Maya Civilization,influencedRegion,Indus Valley
Maya Civilization,influencedRegion,Yellow River Valley
Maya Civilization,influencedRegion,Mediterranean Basin
Maya Civilization,influencedRegion,Anatolia
Maya Civilization,influencedRegion,Italian Peninsula
Maya Civilization,influencedRegion,Iberian Peninsula
Maya Civilization,influencedRegion,Balkan Peninsula
Maya Civilization,influencedRegion,Arabian Peninsula
Maya Civilization,influencedRegion,Mesoamerica
Maya Civilization,influencedRegion,Andes Mountains
Maya Civilization,influencedRegion,Central Asia
Maya Civilization,influencedRegion,East Asia
Maya Civilization,influencedRegion,South Asia
Maya Civilization,influencedRegion,Western Europe
Maya Civilization,influencedRegion,Eastern Europe
Babylonian Empire,influencedRegion,Nile Valley
Babylonian Empire,influencedRegion,Mesopotamia
Babylonian Empire,influencedRegion,Indus Valley
Babylonian Empire,influencedRegion,Yellow River Valley
Babylonian Empire,influencedRegion,Mediterranean Basin
Babylonian Empire,influencedRegion,Anatolia
Babylonian Empire,influencedRegion,Italian Peninsula
Babylonian Empire,influencedRegion,Iberian Peninsula
Babylonian Empire,influencedRegion,Balkan Peninsula
Babylonian Empire,influencedRegion,Arabian Peninsula
Babylonian Empire,influencedRegion,Mesoamerica
Babylonian Empire,influencedRegion,Andes Mountains
Babylonian Empire,influencedRegion,Central Asia
Babylonian Empire,influencedRegion,East Asia
Babylonian Empire,influencedRegion,South Asia
Babylonian Empire,influencedRegion,Western Europe
Babylonian Empire,influencedRegion,Eastern Europe
Persian Empire,influencedRegion,Nile Valley
Persian Empire,influencedRegion,Mesopotamia
Persian Empire,influencedRegion,Indus Valley
Persian Empire,influencedRegion,Yellow River Valley
Persian Empire,influencedRegion,Mediterranean Basin
Persian Empire,influencedRegion,Anatolia
Persian Empire,influencedRegion,Italian Peninsula
Persian Empire,influencedRegion,Iberian Peninsula
Persian Empire,influencedRegion,Balkan Peninsula
Persian Empire,influencedRegion,Arabian Peninsula
Persian Empire,influencedRegion,Mesoamerica
Persian Empire,influencedRegion,Andes Mountains
Persian Empire,influencedRegion,Central Asia
Persian Empire,influencedRegion,East Asia
Persian Empire,influencedRegion,South Asia
Persian Empire,influencedRegion,Western Europe
Persian Empire,influencedRegion,Eastern Europe
Achaemenid Empire,influencedRegion,Nile Valley
Achaemenid Empire,influencedRegion,Mesopotamia
Achaemenid Empire,influencedRegion,Indus Valley
Achaemenid Empire,influencedRegion,Yellow River Valley
Achaemenid Empire,influencedRegion,Mediterranean Basin
Achaemenid Empire,influencedRegion,Anatolia
Achaemenid Empire,influencedRegion,Italian Peninsula
Achaemenid Empire,influencedRegion,Iberian Peninsula
Achaemenid Empire,influencedRegion,Balkan Peninsula
Achaemenid Empire,influencedRegion,Arabian Peninsula
Achaemenid Empire,influencedRegion,Mesoamerica
Achaemenid Empire,influencedRegion,Andes Mountains
Achaemenid Empire,influencedRegion,Central Asia
Achaemenid Empire,influencedRegion,East Asia
Achaemenid Empire,influencedRegion,South Asia
Achaemenid Empire,influencedRegion,Western Europe
Achaemenid Empire,influencedRegion,Eastern Europe
Sumerian Civilization,influencedRegion,Nile Valley
Sumerian Civilization,influencedRegion,Mesopotamia
Sumerian Civilization,influencedRegion,Indus Valley
Sumerian Civilization,influencedRegion,Yellow River Valley
Sumerian Civilization,influencedRegion,Mediterranean Basin
